name,gender,origins
Agostino,m,Italian
Ágoston,m,Hungarian
Ågot,f,Norwegian (Rare)
Ágota,f,Hungarian
Agrafena,f,Russian
Agramante,m,Carolingian Cycle
Agripina,f,Spanish
Agrippa,m,"Ancient Roman, Biblical"
Agrippina,f,Ancient Roman
Agron,m,Albanian
Agrona,f,Celtic Mythology (Hypothetical)
Águeda,f,"Spanish, Portuguese"
Aguinaldo,m,Portuguese (Brazilian)
Agung,m,Indonesian
Agurne,f,Basque
Agurtzane,f,Basque
Agus,m,Indonesian
Ágúst,m,Icelandic
Agustí,m,Catalan
Agustín,m,Spanish
Agustina,f,"Spanish, Indonesian"
Ah,m,Chinese
Ahab,m,"Biblical, Biblical Latin"
Aharon,m,"Hebrew, Biblical Hebrew"
Ahasuerus,m,Biblical
Ahava,f,Hebrew
Ahenobarbus,m,Ancient Roman
Ahinoam,f,Biblical
Ahlam,f,Arabic
Əhməd,m,Azerbaijani
Ahmad,m,"Arabic, Persian, Urdu, Bengali, Pashto, Indonesian, Malay, Avar, Uzbek"
Ahmadu,m,Hausa
Ahmat,m,Central African
Ahmed,m,"Turkish, Bosnian, Dhivehi, Bengali, Arabic, Urdu, Pashto"
Ahmet,m,"Turkish, Kazakh"
Ahmose,m,Ancient Egyptian (Anglicized)
Aholibamah,f,Biblical
'Aholivama,f,Biblical Hebrew
Ahoth,m,Biblical Latin
Ahriman,m,Persian Mythology
Ahsan,m,"Arabic, Urdu, Bengali"
Ahsen,f,Turkish
Ahtahkakoop,m,Cree (Anglicized)
Ahti,m,"Finnish, Estonian, Finnish Mythology"
Ahu,f,Turkish
Ahuludegi,m,Cherokee
Ahura Mazda,m,Persian Mythology
Ahuva,f,Hebrew
Ai 1,f,Japanese
Ai 2,f,Chinese
Aia,f,Basque
Aiaru,f,Kazakh
Aias,m,Greek Mythology
Aibar,m,Kazakh
Aibek,m,"Kazakh, Kyrgyz"
Aíbinn,f,Old Irish
Aïcha,f,"Arabic (Maghrebi), Central African, Western African"
Aïchatou,f,Western African
Aída,f,Spanish
Aida,f,"Arabic, Bosnian, Albanian, Kazakh, Kyrgyz, Tatar, Bashkir, Literature"
Aidai,f,Kazakh
Aidan,m,"Irish, English (Modern)"
Aidana,f,Kazakh
Aidas,m,Lithuanian
Aiday,f,Kazakh
Aideen,f,Irish
Aiden,m,English (Modern)
Aidos,m,Kazakh
Aífe,f,"Irish Mythology, Old Irish"
Aifric,f,Irish
Aiga,f,Latvian
Aigar,m,Estonian
Aigars,m,Latvian
Äigerım,f,Kazakh
Aigeus,m,Greek Mythology
Aigisthos,m,Greek Mythology
Aigle,f,Greek Mythology
Aignéis,f,Irish
Aigül,f,Kazakh
Aigul,f,"Kazakh, Kyrgyz"
Aigyptos,m,Greek Mythology
Aija,f,Latvian
Aijan,f,Kazakh
Aikaterine,f,Ancient Greek (Rare)
Aikaterini,f,Greek
Aike,m,Frisian
Aiko,f,Japanese
Aikörkem,f,Kazakh
Aila,f,Finnish
ʻAilani,f,Hawaiian
Ailani,f,English (Modern)
Ailany,f,English (Modern)
Ailbe,m,"Old Irish, Irish Mythology"
Ailbhe,f,"Irish, Irish Mythology"
Áile,f,Sami
Ailean,m,Scottish Gaelic
Aileas,f,Scottish Gaelic
Aileen,f,"Scottish, Irish, English"
Ailen,f,Mapuche
Aili,f,"Finnish, Estonian"
Ailill,m,"Old Irish, Irish Mythology"
Ailín,m,Medieval Irish
Ailin,f,Kazakh
Ailís,f,Irish
Ailis,f,Scottish Gaelic
Ailish,f,Irish
Ailpean,m,Scottish Gaelic
Ailsa,f,Scottish
Aílton,m,Portuguese (Brazilian)
Aiman 1,f,Kazakh
Aiman 2,m,"Arabic, Malay"
Aimar,m,Basque
Aimé,m,French
Aimée,f,French
Aimee,f,English
Aimeric,m,Germanic
Aimery,m,Medieval French
